GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.semaphore,Fruit.FruitType,0,21,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.semaphore,FruitShop,3,192,1,13,2,30,1,10,0,4
JaCoCo Coverage Report,com.iluwatar.semaphore,Semaphore,6,36,1,3,2,12,2,5,1,4
JaCoCo Coverage Report,com.iluwatar.semaphore,Customer,0,56,0,6,0,17,0,6,0,3
JaCoCo Coverage Report,com.iluwatar.semaphore,Fruit,2,21,1,3,1,8,1,5,0,3
JaCoCo Coverage Report,com.iluwatar.semaphore,App,3,41,0,0,1,8,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.semaphore,FruitBowl,0,65,1,7,0,21,1,9,0,5
