GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.partialresponse,Video,35,0,0,0,9,0,2,0,2,0
JaCoCo Coverage Report,com.iluwatar.partialresponse,FieldJsonMapper,69,0,6,0,16,0,6,0,3,0
JaCoCo Coverage Report,com.iluwatar.partialresponse,App,125,0,0,0,20,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.partialresponse,VideoResource,29,0,2,0,7,0,3,0,2,0
