GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.dao,Customer,0,71,2,6,0,25,2,12,0,10
JaCoCo Coverage Report,com.iluwatar.dao,InMemoryCustomerDao,0,62,0,6,0,10,0,9,0,6
JaCoCo Coverage Report,com.iluwatar.dao,App,3,169,0,2,1,45,1,11,1,10
JaCoCo Coverage Report,com.iluwatar.dao,DbCustomerDao.new Spliterators.AbstractSpliterator() {...},6,26,0,2,2,5,0,3,0,2
JaCoCo Coverage Report,com.iluwatar.dao,DbCustomerDao,14,231,2,12,4,56,2,16,0,11
JaCoCo Coverage Report,com.iluwatar.dao,CustomException,7,5,0,0,4,2,2,1,2,1
