GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.databus.data,MessageData,0,14,0,0,0,5,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.databus.data,StoppingData,5,9,0,0,1,4,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.databus.data,StartingData,5,9,0,0,1,4,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.databus,DataBus,0,40,0,0,0,11,0,7,0,7
JaCoCo Coverage Report,com.iluwatar.databus,App,57,0,0,0,15,0,2,0,2,0
JaCoCo Coverage Report,com.iluwatar.databus,AbstractDataType,0,10,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.databus.members,MessageCollectorMember,0,51,0,2,0,12,0,6,0,5
JaCoCo Coverage Report,com.iluwatar.databus.members,StatusMember,0,103,0,4,0,19,0,9,0,7
