GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.converter,App,3,79,0,0,1,12,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.converter,UserDto,30,76,7,7,3,16,8,7,1,7
JaCoCo Coverage Report,com.iluwatar.converter,User,30,76,7,7,3,16,8,7,1,7
JaCoCo Coverage Report,com.iluwatar.converter,UserConverter,0,29,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.converter,Converter,0,37,0,0,0,8,0,5,0,5
