GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.bytecode.util,InstructionConverterUtil,16,68,2,8,5,16,3,6,1,3
JaCoCo Coverage Report,com.iluwatar.bytecode,Instruction,0,114,0,4,0,20,0,6,0,4
JaCoCo Coverage Report,com.iluwatar.bytecode,App,3,90,0,0,1,25,1,3,1,3
JaCoCo Coverage Report,com.iluwatar.bytecode,VirtualMachine,5,266,1,15,1,59,1,22,0,10
JaCoCo Coverage Report,com.iluwatar.bytecode,Wizard,0,54,0,0,0,19,0,12,0,12
