GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.featuretoggle.user,UserGroup,3,49,2,6,1,13,3,6,1,4
JaCoCo Coverage Report,com.iluwatar.featuretoggle.user,User,0,9,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.featuretoggle.pattern.tieredversion,TieredFeatureToggleVersion,0,13,0,2,0,5,0,4,0,3
JaCoCo Coverage Report,com.iluwatar.featuretoggle.pattern.propertiesversion,PropertiesFeatureToggleVersion,0,35,0,4,0,12,0,5,0,3
JaCoCo Coverage Report,com.iluwatar.featuretoggle,App,90,0,0,0,23,0,3,0,3,0
