GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.priority.queue,Application,44,0,4,0,9,0,4,0,2,0
JaCoCo Coverage Report,com.iluwatar.priority.queue,Worker,31,0,2,0,12,0,5,0,4,0
JaCoCo Coverage Report,com.iluwatar.priority.queue,QueueManager,2,24,1,1,1,7,1,3,0,3
JaCoCo Coverage Report,com.iluwatar.priority.queue,Message,6,15,0,0,1,5,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.priority.queue,PriorityMessageQueue,29,248,8,18,6,50,8,24,1,18
