GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.factory.method,ElfBlacksmith,0,28,0,0,0,5,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.factory.method,App,0,48,0,0,0,14,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.factory.method,ElfWeapon,0,13,0,0,0,5,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.factory.method,OrcBlacksmith,0,28,0,0,0,5,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.factory.method,OrcWeapon,0,13,0,0,0,5,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.factory.method,WeaponType,0,42,0,0,0,6,0,3,0,3
