GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.command,Visibility,0,28,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.command,Size,0,28,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.command,Target,0,65,0,4,0,17,0,11,0,9
JaCoCo Coverage Report,com.iluwatar.command,App,3,45,0,0,1,16,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.command,Goblin,0,11,0,0,0,5,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.command,Wizard,2,55,2,2,1,17,3,4,1,4
