GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.poison.pill,Message.Headers,0,15,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.poison.pill,Message,0,5,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.poison.pill,Consumer,6,54,0,2,3,14,0,4,0,3
JaCoCo Coverage Report,com.iluwatar.poison.pill,SimpleMessageQueue,0,19,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.poison.pill,Message.new Message() {...},0,23,0,0,0,7,0,7,0,7
JaCoCo Coverage Report,com.iluwatar.poison.pill,Producer,10,70,0,2,4,19,0,5,0,4
JaCoCo Coverage Report,com.iluwatar.poison.pill,App,3,45,0,0,1,11,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.poison.pill,SimpleMessage,0,32,0,0,0,9,0,6,0,6
