GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.factorykit,Bow,5,0,0,0,2,0,2,0,2,0
JaCoCo Coverage Report,com.iluwatar.factorykit,WeaponType,0,27,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.factorykit,Spear,2,3,0,0,1,1,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.factorykit,WeaponFactory,0,21,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.factorykit,App,3,33,0,0,1,10,1,3,1,3
JaCoCo Coverage Report,com.iluwatar.factorykit,Axe,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.factorykit,Sword,2,3,0,0,1,1,1,1,1,1
