GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.throttling.timer,ThrottleTimerImpl,0,23,0,0,0,6,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.throttling.timer,ThrottleTimerImpl.new TimerTask() {...},0,11,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.throttling,B2BService,0,51,0,2,0,14,0,5,0,4
JaCoCo Coverage Report,com.iluwatar.throttling,App,15,80,0,0,5,19,1,6,1,6
JaCoCo Coverage Report,com.iluwatar.throttling,Tenant,0,25,0,2,0,9,0,4,0,3
JaCoCo Coverage Report,com.iluwatar.throttling,CallsCount,0,50,0,0,0,11,0,7,0,7
