GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.ambassador,RemoteService,5,47,0,4,2,15,0,7,0,5
JaCoCo Coverage Report,com.iluwatar.ambassador,RemoteServiceStatus,0,21,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.ambassador,ServiceAmbassador,8,63,1,5,3,19,1,7,0,5
JaCoCo Coverage Report,com.iluwatar.ambassador,Client,0,23,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.ambassador,App,3,17,0,0,1,5,1,1,1,1
