GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.mediator,Hunter,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.mediator,Rogue,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.mediator,App,3,45,0,0,1,14,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.mediator,Wizard,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.mediator,Hobbit,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.mediator,Action,0,60,0,0,0,12,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.mediator,PartyImpl,0,37,0,4,0,11,0,5,0,3
JaCoCo Coverage Report,com.iluwatar.mediator,PartyMemberBase,0,36,0,2,0,11,0,6,0,5
