GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.unitofwork,StudentRepository,0,192,0,18,0,49,0,19,0,10
JaCoCo Coverage Report,com.iluwatar.unitofwork,UnitActions,0,35,0,0,0,8,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.unitofwork,App,3,50,0,0,1,11,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.unitofwork,Student,6,15,0,0,2,6,2,2,2,2
JaCoCo Coverage Report,com.iluwatar.unitofwork,StudentDatabase,0,6,0,0,0,4,0,4,0,4
