GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.specification.app,App,3,137,0,0,1,26,1,3,1,3
JaCoCo Coverage Report,com.iluwatar.specification.creature,Shark,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.creature,Dragon,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.creature,KillerBee,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.creature,Goblin,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.creature,Troll,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.creature,Octopus,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.creature,AbstractCreature,0,63,0,0,0,13,0,7,0,7
JaCoCo Coverage Report,com.iluwatar.specification.selector,ColorSelector,0,12,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.selector,NegationSelector,0,15,0,2,0,4,0,3,0,2
JaCoCo Coverage Report,com.iluwatar.specification.selector,ConjunctionSelector,0,18,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.specification.selector,MassGreaterThanSelector,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.selector,SizeSelector,0,12,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.selector,DisjunctionSelector,0,18,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.specification.selector,AbstractSelector,0,36,0,0,0,4,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.specification.selector,MassSmallerThanOrEqSelector,0,15,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.selector,MovementSelector,0,12,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.specification.selector,MassEqualSelector,6,9,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.specification.property,Mass,23,46,6,6,3,9,6,7,2,5
JaCoCo Coverage Report,com.iluwatar.specification.property,Size,0,35,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.specification.property,Color,0,42,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.specification.property,Movement,0,35,0,0,0,6,0,3,0,3
