GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.producer.consumer,ItemQueue,0,19,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.producer.consumer,Producer,0,37,0,0,0,9,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.producer.consumer,Consumer,0,39,0,0,0,9,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.producer.consumer,App,7,67,0,4,3,16,1,6,1,4
JaCoCo Coverage Report,com.iluwatar.producer.consumer,Item,0,15,0,0,0,6,0,3,0,3
