GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.flyweight,PoisonPotion,0,14,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.flyweight,PotionFactory,0,79,1,7,0,22,1,7,0,2
JaCoCo Coverage Report,com.iluwatar.flyweight,PotionType,0,33,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.flyweight,HolyWaterPotion,0,14,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.flyweight,AlchemistShop,0,79,0,0,0,26,0,5,0,5
JaCoCo Coverage Report,com.iluwatar.flyweight,App,3,7,0,0,1,3,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.flyweight,InvisibilityPotion,0,14,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.flyweight,StrengthPotion,0,14,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.flyweight,HealingPotion,0,14,0,0,0,4,0,3,0,3
