GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain.enums,Property,0,27,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain,HasType,0,7,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain,HasParts,0,6,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain,Car,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain,Part,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain,HasPrice,0,7,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument.domain,HasModel,0,7,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.abstractdocument,App,3,100,0,0,1,24,1,3,1,3
JaCoCo Coverage Report,com.iluwatar.abstractdocument,AbstractDocument,0,78,0,0,0,20,0,7,0,7
