GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.halfsynchalfasync,App,8,49,0,0,3,11,1,3,1,3
JaCoCo Coverage Report,com.iluwatar.halfsynchalfasync,AsynchronousService.new FutureTask() {...},2,25,0,0,1,7,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.halfsynchalfasync,AsynchronousService,4,47,0,0,2,15,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.halfsynchalfasync,App.ArithmeticSumTask,10,22,1,1,2,8,2,4,1,4
