GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.model.view.controller,GiantController,0,42,0,0,0,15,0,8,0,8
JaCoCo Coverage Report,com.iluwatar.model.view.controller,App,3,31,0,0,1,9,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.model.view.controller,GiantView,0,12,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.model.view.controller,Fatigue,0,35,0,0,0,8,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.model.view.controller,Health,0,35,0,0,0,8,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.model.view.controller,Nourishment,0,35,0,0,0,8,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.model.view.controller,GiantModel,0,53,0,0,0,15,0,8,0,8
