GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.eip.message.channel,App.new RouteBuilder() {...},0,16,0,0,0,4,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.eip.message.channel,App,3,27,0,0,1,7,1,3,1,3
