GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.bridge,FlyingEnchantment,0,19,0,0,0,8,0,5,0,5
JaCoCo Coverage Report,com.iluwatar.bridge,App,3,37,0,0,1,12,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.bridge,Sword,0,34,0,0,0,14,0,6,0,6
JaCoCo Coverage Report,com.iluwatar.bridge,Hammer,0,34,0,0,0,14,0,6,0,6
JaCoCo Coverage Report,com.iluwatar.bridge,SoulEatingEnchantment,0,19,0,0,0,8,0,5,0,5
