GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.filterer.threat,ThreatType,0,21,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.filterer.threat,SimpleThreat,58,28,11,1,8,9,9,4,3,4
JaCoCo Coverage Report,com.iluwatar.filterer.threat,SimpleProbableThreat,44,23,9,1,7,8,6,4,1,4
JaCoCo Coverage Report,com.iluwatar.filterer.threat,SimpleThreatAwareSystem,50,43,10,0,9,11,8,6,3,6
JaCoCo Coverage Report,com.iluwatar.filterer.threat,SimpleProbabilisticThreatAwareSystem,50,40,10,0,9,11,8,6,3,6
JaCoCo Coverage Report,com.iluwatar.filterer,App,3,110,0,4,1,24,1,8,1,6
