GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.composite,Word,7,29,0,2,3,6,1,3,1,2
JaCoCo Coverage Report,com.iluwatar.composite,Letter,0,11,0,0,0,5,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.composite,Messenger,0,308,0,0,0,5,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.composite,App,3,25,0,0,1,8,1,2,1,2
JaCoCo Coverage Report,com.iluwatar.composite,LetterComposite,0,29,0,0,0,11,0,6,0,6
JaCoCo Coverage Report,com.iluwatar.composite,Sentence,0,11,0,0,0,5,0,2,0,2
