GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.delegation.simple,App,3,31,0,0,1,7,1,1,1,1
JaCoCo Coverage Report,com.iluwatar.delegation.simple,PrinterController,0,11,0,0,0,5,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.delegation.simple.printers,EpsonPrinter,0,12,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.delegation.simple.printers,CanonPrinter,0,12,0,0,0,4,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.delegation.simple.printers,HpPrinter,0,12,0,0,0,4,0,3,0,3
