GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,State,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,DelayedRemoteService,0,41,0,2,0,12,0,4,0,3
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,App,87,0,0,0,23,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,MonitoringService,4,23,0,0,2,9,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,DefaultCircuitBreaker,14,126,2,7,4,41,2,10,0,7
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,QuickRemoteService,0,5,0,0,0,2,0,2,0,2
JaCoCo Coverage Report,com.iluwatar.circuitbreaker,RemoteServiceException,0,4,0,0,0,2,0,1,0,1
