GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,App,3,95,0,0,1,23,1,7,1,7
JaCoCo Coverage Report,concreteextensions,Sergeant,0,20,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,concreteextensions,Commander,0,20,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,concreteextensions,Soldier,0,20,0,0,0,7,0,4,0,4
JaCoCo Coverage Report,units,SergeantUnit,0,25,0,2,0,5,0,4,0,3
JaCoCo Coverage Report,units,CommanderUnit,0,25,0,2,0,5,0,4,0,3
JaCoCo Coverage Report,units,Unit,0,18,0,0,0,8,0,4,0,4
JaCoCo Coverage Report,units,SoldierUnit,0,25,0,2,0,5,0,4,0,3
