GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.serverless.baas.api,AbstractDynamoDbHandler,63,0,0,0,22,0,7,0,7,0
JaCoCo Coverage Report,com.iluwatar.serverless.baas.api,SavePersonApiHandler,42,0,0,0,11,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.serverless.baas.api,FindPersonApiHandler,38,0,0,0,9,0,4,0,4,0
JaCoCo Coverage Report,com.iluwatar.serverless.baas.model,Address,168,0,24,0,37,0,26,0,14,0
JaCoCo Coverage Report,com.iluwatar.serverless.baas.model,Person,114,0,16,0,27,0,19,0,11,0
JaCoCo Coverage Report,com.iluwatar.serverless.faas.api,LambdaInfoApiHandler,0,63,0,0,0,18,0,5,0,5
JaCoCo Coverage Report,com.iluwatar.serverless.faas,ApiGatewayResponse.ApiGatewayResponseBuilder,11,45,1,1,4,13,2,6,1,6
JaCoCo Coverage Report,com.iluwatar.serverless.faas,ApiGatewayResponse,12,15,0,0,4,6,4,1,4,1
JaCoCo Coverage Report,com.iluwatar.serverless.faas,LambdaInfo,153,45,28,0,24,19,17,13,3,13
