GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.event.sourcing.state,AccountAggregate,0,33,0,0,0,9,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.event.sourcing.domain,Account,16,111,1,7,3,38,3,17,2,14
JaCoCo Coverage Report,com.iluwatar.event.sourcing.processor,JsonFileJournal,22,184,2,16,6,41,2,11,0,4
JaCoCo Coverage Report,com.iluwatar.event.sourcing.processor,DomainEventProcessor,0,29,0,2,0,10,0,5,0,4
JaCoCo Coverage Report,com.iluwatar.event.sourcing.app,App,132,0,0,0,29,0,3,0,3,0
JaCoCo Coverage Report,com.iluwatar.event.sourcing.event,MoneyDepositEvent,8,27,0,0,1,9,2,3,2,3
JaCoCo Coverage Report,com.iluwatar.event.sourcing.event,AccountCreateEvent,11,30,1,1,3,9,3,2,2,2
JaCoCo Coverage Report,com.iluwatar.event.sourcing.event,MoneyTransferEvent,20,43,0,0,2,13,4,3,4,3
JaCoCo Coverage Report,com.iluwatar.event.sourcing.event,DomainEvent,9,22,0,0,3,9,3,3,3,3
