GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,com.iluwatar.iterator.list,Item,0,19,0,0,0,8,0,4,0,4
JaCoCo Coverage Report,com.iluwatar.iterator.list,ItemType,0,27,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,com.iluwatar.iterator.list,TreasureChest,0,68,0,0,0,5,0,3,0,3
JaCoCo Coverage Report,com.iluwatar.iterator.list,TreasureChestItemIterator,2,68,1,9,1,18,1,8,0,4
JaCoCo Coverage Report,com.iluwatar.iterator.bst,TreeNode,4,99,0,10,1,30,1,17,1,12
JaCoCo Coverage Report,com.iluwatar.iterator.bst,BstIterator,0,49,0,6,0,14,0,7,0,4
JaCoCo Coverage Report,com.iluwatar.iterator,App,3,104,0,4,1,31,1,7,1,5
